,meter_id,date,month,year,num_rdngs_dd,num_rdngs_mm,num_rdngs_yy,daily_mwh,monthly_mwh,yearly_mwh,num_gap_dd,num_gap_mm,num_gap_yy,season,num_days_mm,monthly_avg_mwh,weekday,num_wkdays_mm,num_wkends_mm,monthly_wkday_avg,monthly_wkend_avg
3098,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-01,1,2017,48.0,1440.0,16176.0,5.949999999999998,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
159002,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-02,1,2017,48.0,1440.0,16176.0,10.476999999999997,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
314906,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-03,1,2017,48.0,1440.0,16176.0,8.559,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
470810,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-04,1,2017,48.0,1440.0,16176.0,7.172999999999999,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
626714,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-05,1,2017,48.0,1440.0,16176.0,6.897,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
782618,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-06,1,2017,48.0,1440.0,16176.0,9.106999999999998,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
938522,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-07,1,2017,48.0,1440.0,16176.0,7.9730000000000025,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
1094426,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-08,1,2017,48.0,1440.0,16176.0,8.778999999999998,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
1250330,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-09,1,2017,48.0,1440.0,16176.0,10.407,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
1406234,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-10,1,2017,0.0,1440.0,16176.0,0.0,256.76200000000057,2560.9210000000144,48.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
